NUM_ATIVIDADE|NUM_SEQ_RECURSO|NUM_PLACA|NUM_PREFIXO
2020-023835717-001 |1 |QUT9357 |28944
2020-023854124-001 |1 |QUT9357 |28944
2020-023870612-001 |1 |PUE8706 |24352
2020-023876453-001 |1 |QUY0550 |29451
2020-023882830-001 |1 |PUE8706 |24352
2020-023900125-001 |1 |QUT9357 |28944
2020-023903787-001 |1 |QPO0453 |27685
2020-023913544-001 |1 |QOY8310 |26591
2020-023917107-001 |1 |QUV7718 |29200
2020-023927171-001 |1 |QMV0252 |25879
2020-023941961-001 |1 |ORC8794 |22348
2020-023945459-001 |1 |QMV2213 |29402
2020-024031938-001 |1 |QPP9240 |27759
2020-024076447-001 |1 |OQM9687 |21604
2020-024095023-001 |1 |QPP9473 |27743
2020-024095049-001 |1 |QPP9473 |27743
2020-024095101-001 |1 |QPP9473 |27743
2020-024151779-001 |1 |QPH8872 |27491
2020-024201975-001 |1 |QMV2213 |29402
2020-024222052-001 |1 |QMV1254 |27931
2020-024254989-001 |1 |QNJ1880 |25854
2020-024262013-001 |1 |OQM9006 |21380
2020-024272194-001 |1 |QPU1311 |27826
2020-024287690-001 |1 |QPK2237 |27462
2020-024307299-001 |1 |HDN6583 |19392
2020-024392661-001 |1 |PUE8975 |25232
2020-024392793-001 |1 |PUE8975 |25232
2020-024411813-001 |1 |QMV1935 |28497
2020-024448746-001 |1 |QPK2192 |27439
2020-024459718-001 |1 |QPK2192 |27439
2020-024460935-001 |1 |QPF9731 |27102
2020-024470250-001 |1 |QUV9097 |29027
2020-024474183-001 |1 |QPF9725 |27113
2020-024481720-001 |1 |OQM9254 |21016
2020-024491585-001 |1 |QPP9463 |27742
2020-024491622-001 |1 |QMV0252 |25879
2020-024509641-001 |1 |QPO1831 |27725
2020-024512830-001 |1 |QPX9614 |28655
2020-024539544-001 |1 |QPB0859 |26856
2020-024541180-001 |1 |QOY8241 |26694
2020-024550152-001 |1 |QPO1831 |27725
2020-024555130-001 |1 |QPP9240 |27759
2020-024565399-001 |1 |QMV2210 |29405
2020-024587148-001 |1 |QPO0429 |27708
2020-024604134-001 |1 |QPO0391 |27662
2020-024604920-001 |1 |QPO0429 |27708
2020-024614638-001 |1 |QMV0665 |26460
2020-024614638-001 |2 |QMV4069 |26407
2020-024639960-001 |1 |QPO0391 |27662
2020-024643880-001 |1 |QMV1072 |27855
2020-024643880-001 |2 |QPP9463 |27742
2020-024644860-001 |1 |HMH8053 |17379
2020-024656600-001 |1 |QPR4862 |27778
2020-024661146-001 |1 |QUV9097 |29027
2020-024680848-001 |1 |QPF8938 |27018
2020-024686347-001 |1 |QMV2209 |29409
2020-024697306-001 |1 |QMV2213 |29402
2020-024717471-001 |1 |OPQ9979 |20746
2020-024725738-001 |1 |QPM8035 |27629
2020-024726460-001 |1 |QPO1831 |27725
2020-024730100-001 |1 |HNH0440 |17982
2020-024734256-001 |1 |PUE9695 |25415
2020-024759810-001 |1 |QMV0334 |25927
2020-024809311-001 |1 |QMV2363 |02363
2020-024823538-001 |1 |PUE9198 |25543
2020-024825120-001 |1 |QMV2206 |29378
2020-024827746-001 |1 |QMV2206 |29378
2020-024841399-001 |1 |QOY8415 |26653
2020-024872872-001 |1 |PUE8975 |25232
2020-024883164-001 |1 |QMV0057 |25779
2020-024958743-001 |1 |QMV0252 |25879
2020-024968240-001 |1 |QMV2213 |29402
2020-024998695-001 |1 |QPG0251 |27411
2020-024998942-001 |1 |QPG0251 |27411
2020-024998983-001 |1 |QPG0251 |27411
2020-025008185-001 |1 |GTM6992 |10397
2020-025012638-001 |1 |QUT6833 |28957
2020-025063580-001 |1 |QMV1937 |28499
2020-025093138-001 |1 |QOY7660 |26715
2020-025117167-001 |1 |QMV2066 |28772
2020-025122038-001 |1 |QPO0424 |27719
2020-025131082-001 |1 |GOW7187 |20025
2020-025153788-001 |1 |NXX1868 |01213
2020-025189619-001 |1 |PUE8076 |01380
2020-025219699-001 |1 |QOY8152 |26687
2020-025220113-001 |1 |QOY8152 |26687
2020-025220624-001 |1 |QOY8152 |26687
2020-025230147-001 |1 |QUT6890 |28887
2020-025233125-001 |1 |QMV0650 |26385
2020-025233125-001 |2 |QMV4082 |26420
2020-025233125-001 |3 |QMV4081 |26419
2020-025265763-001 |1 |QUS2215 |28881
2020-025269172-001 |1 |PUE9573 |25154
2020-025269172-001 |2 |PUE9495 |22933
2020-025276826-001 |1 |ORC8398 |21989
2020-025276826-001 |2 |PUE9873 |26390
2020-025276826-001 |3 |QMV4024 |26370
2020-025280185-001 |1 |NXX1432 |19853
2020-025291790-001 |1 |PUE8975 |25232
2020-025316860-001 |1 |QMV1939 |28501
2020-025326342-001 |1 |QPR4862 |27778
2020-025326342-001 |2 |QPO0420 |27677
2020-025328943-001 |1 |QPJ1124 |27595
2020-025331620-001 |1 |HDN6583 |19392
2020-025331990-001 |1 |OPQ8401 |21474
2020-025331990-001 |2 |NXX1710 |19980
2020-025331990-001 |3 |OPQ8403 |21475
2020-025331990-001 |4 |OQM9654 |21530
